"CE Implementados","","","","","","","","","","","",""
"N°","COD SABER","CODIGO","NOMBRE","PROVINCIA","CANTON","LATITUD","LONGITUD","CATALOGO","CANTIDAD DISPOSITIVOS","Fecha Implementación PBS","ESTATUS IMPLEMENTACIÓN","LÍNEA DE CONECTIVIDAD INICIAL"
"1","105534-00","5870","LICEO SOTERO GONZALEZ BARQUERO","SAN JOSE","DESAMPARADOS","9,8753083408115","-84,0882079762609","CAT 3","9","8/30/2024","IMPLEMENTADO","#REF!"
"2","104166-00","4119","LICEO DE CHACARITA","PUNTARENAS","CHACARITA","99793195","-8476714324","CAT 5","87","9/16/2024","IMPLEMENTADO","17312819(500Mbps-FO), 17495546(10Mbps-ADSL), 17765457(10Mbps-ADSL)"
"3","102858-00","2714","CHAGUITE","PUNTARENAS","PUNTARENAS","998441046","-8474460164","CAT 3","","9/27/2024","IMPLEMENTADO","17433991(200Mbps-FO), 17701961(200Mbps-FO)"
"4","103982-00","3904","ESCUELA SAN ANTONIO","ALAJUELA","UPALA","10,944691","-84.965668 ","CAT 2","","11/28/2024","IMPLEMENTADO","17331821(100Mbps-FO)"
"5","100995-00","805","PEDRO PÉREZ ZELEDÓN","SAN JOSE","PEREZ ZELEDON","936707076","-83704793","CAT 4","26","11/29/2024","IMPLEMENTADO","17300741(200Mbps-FO)"
"6","101177-00","988","GUSTAVO AGÜERO BARRANTES","SAN JOSE","PEREZ ZELEDON","94151785","-8373407766","CAT 3","9","12/2/2024","IMPLEMENTADO","17602795(200Mbps-FO)"
"7","101948-00","1776","FERNANDO TERÁN VALLS","CARTAGO","LA UNION","992557403","-8400065345","CAT 4","5","12/3/2024","IMPLEMENTADO","17338521(100Mbps-FO)"
"8","101060-00","870","LA HERMOSA","SAN JOSE","PEREZ ZELEDON","934845543","-8365711117","CAT 2","4","12/4/2024","IMPLEMENTADO","17313018(100Mbps-FO)"
"9","101112-00","922","HERNÁN RODRÍGUEZ RUÍZ","SAN JOSE","PEREZ ZELEDON","932090566","-8366215356","CAT 3","21","12/4/2024","IMPLEMENTADO","17602797(100Mbps-FO), 17920795(100Mbps-FO), 17920861(100Mbps-FO), 27713747(100Mbps-FO)"
"10","101194-00","1006","SINAÍ","SAN JOSE","PEREZ ZELEDON","937018844","-8369453042","CAT 3","17","12/4/2024","IMPLEMENTADO","27711813(25Mbps-ADSL), 27714643(25Mbps-ADSL), 27718469(25Mbps-ADSL)"
"11","101381-00","1197","LUIS FELIPE GONZÁLEZ FLORES","ALAJUELA","ALAJUELA","1007489544","-8421624773","CAT 3","11","12/4/2024","IMPLEMENTADO","17653580(10Mbps-ADSL)"
"12","101049-00","859","EL HOYÓN","SAN JOSE","PEREZ ZELEDON","936326763","-8372057319","CAT 2","7","12/5/2024","IMPLEMENTADO","17370710(25Mbps-SATELITAL), 17582225(10Mbps-ADSL), 27720454(4Mbps-ADSL)"
"13","101062-00","872","LA LINDA","SAN JOSE","PEREZ ZELEDON","936641777","-8365047874","CAT 2","2","12/5/2024","IMPLEMENTADO","17963041(10Mbps-ADSL)"
"14","101079-00","889","LAS MERCEDES","SAN JOSE","PEREZ ZELEDON","926144737","-8358073465","CAT 3","1","12/5/2024","IMPLEMENTADO","17821781(2Mbps-ADSL)"
"15","101121-00","931","MIXTA PEDREGOSO","SAN JOSE","PEREZ ZELEDON","93752147","-8372188067","CAT 3","1","12/5/2024","IMPLEMENTADO","17332131(60Mbps-FO)"
"16","102233-00","2067","SAN PABLO","HEREDIA","BARVA","1002291448","-8412704034","CAT 3","1","12/5/2024","IMPLEMENTADO","17340301(35Mbps-FO), 17754216(100Mbps-FO)"
"17","104083-00","4029","LICEO DE TURRÚCARES","ALAJUELA","ALAJUELA","995964202","-8431737398","CAT 4","3","12/5/2024","IMPLEMENTADO","17683043(300Mbps-FO)"
"18","102111-00","1942","AZUL","CARTAGO","TURRIALBA","991307374","-8366515308","CAT 3","3","12/6/2024","IMPLEMENTADO","17370991(25Mbps-SATELITAL), 17406373(6Mbps-ADSL)"
"19","101192-00","1004","SANTO TOMÁS","SAN JOSE","PEREZ ZELEDON","947816829","-837794897","CAT 2","1","12/9/2024","IMPLEMENTADO","17370240(25Mbps-SATELITAL)"
"20","101382-00","1198","SAN ANTONIO","ALAJUELA","ALAJUELA","99965975","-8422265811","CAT 3","11","12/9/2024","IMPLEMENTADO","17300195(70Mbps-FO)"
"21","100856-00","660","LA PALMA","SAN JOSE","PURISCAL","978835533","-8438499778","CAT 2","1","12/10/2024","IMPLEMENTADO","17370697(25Mbps-SATELITAL), 17625760(10Mbps-ADSL), 17774368(20Mbps-ADSL)"
"22","100938-00","744","CRISTO REY","SAN JOSE","PEREZ ZELEDON","927277691","-8349244167","CAT 2","1","12/10/2024","IMPLEMENTADO","PENDIENTE"
"23","101910-00","1737","SAN JOAQUÍN","CARTAGO","CARTAGO","978818912","-8404193579","CAT 2","","12/10/2024","IMPLEMENTADO","17349041(10Mbps-FO), 17678966(2Mbps-ADSL)"
"24","101940-00","1767","SAN VICENTE","CARTAGO","LA UNION","990028452","-8397733734","CAT 3","14","12/10/2024","IMPLEMENTADO","17300749(10Mbps-FO), 17771629(100Mbps-FO), 22784622(6Mbps-ADSL), 22794154(4Mbps-ADSL)"
"25","104072-00","4015","COLEGIO AMBIENTALISTA EL ROBLE","ALAJUELA","ALAJUELA","999440601","-8424617141","CAT 5","1","12/10/2024","IMPLEMENTADO","17945857(500Mbps-FO)"
"26","104816-00","6132","J.N. PEDRO AGUIRRE CERDA","ALAJUELA","POAS","1007775792","-8424508887","CAT 3","1","12/10/2024","IMPLEMENTADO","17370599(25Mbps-SATELITAL), 24480168(20Mbps-ADSL)"
"27","100646-00","442","OTTO HUBBE","SAN JOSE","SAN JOSE","995910348","-841203681","CAT 4","1","12/11/2024","IMPLEMENTADO","17300502(60Mbps-FO)"
"28","101257-00","1070","TIERRA PROMETIDA","SAN JOSE","PEREZ ZELEDON","938147694","-8371177784","CAT 3","1","12/11/2024","IMPLEMENTADO","27720569(100Mbps-FO)"
"29","101426-00","1242","ALBERTO MANUEL BRENES MORA","ALAJUELA","SAN RAMON","1009516571","-8446608556","CAT 3","4","12/11/2024","IMPLEMENTADO","17973118(200Mbps-FO)"
