ID_Cita,Fecha,Hora,Centro,Provincia,Canton,Categoria,Prioridad,Nota,Estado,Fecha_Creacion
1,2025-11-24,11,BAJO BURGOS,SAN JOSE,PURISCAL,CAT 1,Media,,Pendiente,2025-11-24
2,2025-11-24,8,EL SUR,SAN JOSE,TURRUBARES,CAT 1,Media,,Pendiente,2025-11-24
3,2025-11-24,9,MAURO FERNÁNDEZ ACUÑA,SAN JOSE,TURRUBARES,CAT 1,Media,,Pendiente,2025-11-24
4,2025-11-24,10,LA GUARIA,SAN JOSE,DESAMPARADOS,CAT 2,Media,,Pendiente,2025-11-24
5,2025-11-24,13,LA JOYA,SAN JOSE,DESAMPARADOS,CAT 1,Media,,Pendiente,2025-11-24
6,2025-11-25,8,J.N. DANTE ALIGHIERI,SAN JOSE,MONTES DE OCA,CAT 1,Media,,Pendiente,2025-11-24
7,2025-11-25,9,LAGUNAS,SAN JOSE,TURRUBARES,CAT 1,Media,,Pendiente,2025-11-24
8,2025-11-25,10,MONSERRAT,SAN JOSE,VASQUEZ DE CORONADO,CAT 1,Media,,Pendiente,2025-11-24
9,2025-11-25,11,CARLOS LUIS VALVERDE VEGA,SAN JOSE,PEREZ ZELEDON,CAT 2,Media,,Pendiente,2025-11-24
10,2025-11-25,13,CARRIZAL,SAN JOSE,LEON CORTES,CAT 2,Media,,Pendiente,2025-11-24
11,2025-11-25,14,EL PEJE,SAN JOSE,PEREZ ZELEDON,CAT 2,Media,,Pendiente,2025-11-24
12,2025-11-25,15,FLORENCIA DE MATAZANOS,SAN JOSE,PEREZ ZELEDON,CAT 2,Media,,Pendiente,2025-11-24
