ID,Centro,Estado,Fecha_Inicio,Fecha_Fin,Responsable,Prioridad,Observaciones
1,MAURO FERNÁNDEZ ACUÑA,Terminado,2025-11-24,2025-11-24,Cristian Granados,Media,
2,LA GUARIA,Terminado,2025-11-24,2025-11-24,Cristian Granados ,Media,
3,BAJO BURGOS,Terminado,2025-11-24,2025-11-24,Cristian Granados,Media,
4,EL SUR,Pausado,2025-11-24,,Cristian Granados,Media,se envia correo ya que en meraki tiene problemas de equipo fantasma
5,LA JOYA,Terminado,2025-11-24,2025-11-24,Cristian Granados,Media,en este CE se presentan problemas con enlace ice se adjuntan fotografia de caso en SIGA 
6,J.N. DANTE ALIGHIERI,En Proceso,2025-11-25,,Sistema,Media,
7,LAGUNAS,Pendiente,2025-11-25,,Sistema,Media,
8,MONSERRAT,Pendiente,2025-11-25,,Sistema,Media,
9,CARLOS LUIS VALVERDE VEGA,Pendiente,2025-11-25,,Sistema,Media,
10,CARRIZAL,Pendiente,2025-11-25,,Sistema,Media,
11,EL PEJE,Pendiente,2025-11-25,,Sistema,Media,
12,FLORENCIA DE MATAZANOS,Pendiente,2025-11-25,,Sistema,Media,
